
[00:00:00.000 --> 00:00:05.000]   [MUSIC]
[00:00:05.000 --> 00:00:07.400]   >> Hey, everyone. Welcome to the latest base podcast.
[00:00:07.400 --> 00:00:09.240]   >> This is Alessio, partner in CTO.
[00:00:09.240 --> 00:00:11.760]   That's about partners, and I'm joined by my co-host Swiss,
[00:00:11.760 --> 00:00:12.880]   founder of Small AI.
[00:00:12.880 --> 00:00:15.960]   >> Hey, and today we are delighted to be,
[00:00:15.960 --> 00:00:18.440]   I think the first podcast in the new podium office.
[00:00:18.440 --> 00:00:21.880]   So thanks for having us, and welcome Farun and I show.
[00:00:21.880 --> 00:00:22.920]   >> That's for having us.
[00:00:22.920 --> 00:00:24.080]   >> Yeah, thanks for having us.
[00:00:24.080 --> 00:00:25.520]   >> This is the Silicon Valley office?
[00:00:25.520 --> 00:00:26.040]   >> Yeah.
[00:00:26.040 --> 00:00:27.720]   >> So what's the story behind this?
[00:00:27.720 --> 00:00:31.400]   >> The story is that the office was previously,
[00:00:31.400 --> 00:00:33.040]   so we used to be on Castro Street,
[00:00:33.040 --> 00:00:34.200]   so this is in Mountain View,
[00:00:34.200 --> 00:00:36.040]   and I think a lot of the people at
[00:00:36.040 --> 00:00:39.960]   the company previously were NSF, were still NSF.
[00:00:39.960 --> 00:00:42.240]   Actually, one thing if you notice about the company is,
[00:00:42.240 --> 00:00:44.320]   it's actually a two-minute walk from the Caltrain,
[00:00:44.320 --> 00:00:48.320]   and I think we didn't want to move the office very far away from
[00:00:48.320 --> 00:00:50.880]   the Caltrain that would probably piss off a lot of
[00:00:50.880 --> 00:00:54.200]   the people that lived in in San Francisco, this guy included.
[00:00:54.200 --> 00:00:57.840]   So we were scouting a lot of spaces in the nearby area,
[00:00:57.840 --> 00:00:59.520]   and this area popped up.
[00:00:59.520 --> 00:01:02.080]   It previously was being leased by,
[00:01:02.080 --> 00:01:03.840]   I think, Facebook/watsapp,
[00:01:03.840 --> 00:01:05.280]   and then immediately after that,
[00:01:05.280 --> 00:01:08.320]   a ghost autonomy, and now here we are.
[00:01:08.320 --> 00:01:11.320]   I guess one of the things that the landlord told us was,
[00:01:11.320 --> 00:01:12.760]   this was the place that they shot
[00:01:12.760 --> 00:01:14.320]   all the scenes for Silicon Valley,
[00:01:14.320 --> 00:01:15.840]   at least externally and stuff like that.
[00:01:15.840 --> 00:01:17.320]   So that just became a meme.
[00:01:17.320 --> 00:01:19.760]   Trust me, that wasn't the main reason why we picked it,
[00:01:19.760 --> 00:01:21.440]   but we've leaned into it.
[00:01:21.440 --> 00:01:24.800]   It doesn't hurt, and obviously that played it a little bit
[00:01:24.800 --> 00:01:26.960]   into your launch with WinSurf as well.
[00:01:26.960 --> 00:01:28.600]   So let's get caught up.
[00:01:28.600 --> 00:01:30.520]   You were guest number four.
[00:01:30.520 --> 00:01:31.600]   I think I was two.
[00:01:31.600 --> 00:01:32.440]   Maybe I was two.
[00:01:32.440 --> 00:01:36.240]   So a lot has happened since then.
[00:01:36.240 --> 00:01:39.680]   You've raised a huge round and also just launched your ID.
[00:01:39.680 --> 00:01:42.080]   Like, what's been the progress over the last year or so
[00:01:42.080 --> 00:01:44.480]   since the in-space people last saw you?
[00:01:44.480 --> 00:01:47.000]   Yeah, so I think the biggest things that have happened
[00:01:47.000 --> 00:01:50.160]   are podiums, extensions have continued to gain
[00:01:50.160 --> 00:01:52.400]   a lot of popularity.
[00:01:52.400 --> 00:01:56.200]   We have over 800,000 developers that use that product.
[00:01:56.200 --> 00:01:58.320]   Lots of large enterprises also use the product.
[00:01:58.320 --> 00:02:00.440]   We were recently awarded JP Morgan Chase's
[00:02:00.440 --> 00:02:02.600]   Hall of Innovation Award, which is usually not
[00:02:02.600 --> 00:02:05.240]   something a company gets within a year of deploying
[00:02:05.240 --> 00:02:07.760]   an enterprise product, and then large companies like Dell
[00:02:07.760 --> 00:02:08.760]   and stuff use the product.
[00:02:08.760 --> 00:02:10.560]   So I think we've seen a lot of traction on the enterprise
[00:02:10.560 --> 00:02:13.120]   base, but I think one of the most exciting things we've
[00:02:13.120 --> 00:02:17.320]   launched recently is this actually ID called WinSurf.
[00:02:17.320 --> 00:02:19.600]   And I think for us, one of the things that we've always
[00:02:19.600 --> 00:02:21.960]   thought about is how do we build the most powerful AI
[00:02:21.960 --> 00:02:23.880]   system for developers everywhere?
[00:02:23.880 --> 00:02:25.760]   The reason why we started out with the extension system
[00:02:25.760 --> 00:02:29.240]   was we felt that there were lots of developers that were not
[00:02:29.240 --> 00:02:30.520]   going to be on one platform.
[00:02:30.520 --> 00:02:32.040]   And that still is true, by the way.
[00:02:32.040 --> 00:02:34.960]   Outside of Silicon Valley, a lot of people don't use GitHub.
[00:02:34.960 --> 00:02:36.880]   This is like a very surprising finding,
[00:02:36.880 --> 00:02:41.200]   but most people use GitLab, Bitbucket, Garrett, Perverse,
[00:02:41.200 --> 00:02:42.680]   CVS, Harvest, Mercurial.
[00:02:42.680 --> 00:02:45.240]   I could keep going down a list, but there's probably 10 of them.
[00:02:45.240 --> 00:02:47.680]   GitHub might have less than 10% penetration
[00:02:47.680 --> 00:02:49.720]   of the Fortune 500, full penetration.
[00:02:49.720 --> 00:02:50.720]   It's very small.
[00:02:50.720 --> 00:02:52.800]   And then also on top of that, GitHub
[00:02:52.800 --> 00:02:56.120]   has very high switching costs for source code management tools,
[00:02:56.120 --> 00:02:58.040]   because you actually need to switch over all the dependent
[00:02:58.040 --> 00:02:59.640]   systems on this workflow software.
[00:02:59.640 --> 00:03:02.080]   It's much harder than even switching off of a database.
[00:03:02.080 --> 00:03:04.200]   So because of that, we actually found ways
[00:03:04.200 --> 00:03:06.160]   in which we could be better partners to our customers,
[00:03:06.160 --> 00:03:08.040]   regardless of where they started their source code.
[00:03:08.040 --> 00:03:10.160]   And then more specifically on the ID category,
[00:03:10.160 --> 00:03:11.600]   a lot of developers, surprise, surprise,
[00:03:11.600 --> 00:03:13.480]   don't just write TypeScript and Python.
[00:03:13.480 --> 00:03:15.880]   They write Java, they write Golang.
[00:03:15.880 --> 00:03:17.400]   They write a lot of different languages.
[00:03:17.400 --> 00:03:19.520]   And then a high-quality language servers and debuggers
[00:03:19.520 --> 00:03:20.280]   matter.
[00:03:20.280 --> 00:03:23.560]   Very honestly, the JetBrains has the best debugger for Java.
[00:03:23.560 --> 00:03:24.880]   It's not even close.
