
[00:00:00.000 --> 00:00:02.400]   (upbeat music)
[00:00:02.400 --> 00:00:05.040]   - Hey, welcome back to our yet another Infra Deep Dive.
[00:00:05.040 --> 00:00:08.800]   As usual, Tim from Essence and Ian, let's go.
[00:00:08.800 --> 00:00:12.320]   - Man, I'm so excited to say Tim, this is Ian Livingston.
[00:00:12.320 --> 00:00:15.040]   We are joined by a dear friend of mine
[00:00:15.040 --> 00:00:18.240]   in the current CTO at a company called Buff.
[00:00:18.240 --> 00:00:22.120]   Actually, tell us a little bit yourself, my friend.
[00:00:22.120 --> 00:00:24.960]   - Hey, I'm Akshay, I'm the CTO at Buff right now
[00:00:24.960 --> 00:00:27.760]   and I'm an engineer.
[00:00:27.760 --> 00:00:29.040]   I don't know, I came to engineering
[00:00:29.040 --> 00:00:31.280]   by a long and winding road, but have spent
[00:00:31.280 --> 00:00:34.860]   most of my engineering career in startups.
[00:00:34.860 --> 00:00:38.080]   The most notable of which was Uber,
[00:00:38.080 --> 00:00:40.880]   which I joined when it was, I don't know,
[00:00:40.880 --> 00:00:44.520]   a couple hundred engineers and grew to
[00:00:44.520 --> 00:00:47.320]   at least in order of magnitude more than that.
[00:00:47.320 --> 00:00:49.760]   And I started over there in data engineering,
[00:00:49.760 --> 00:00:51.120]   working on this kind of metrics
[00:00:51.120 --> 00:00:53.360]   and anomaly detection stuff,
[00:00:53.360 --> 00:00:55.960]   moved over to network infrastructure
[00:00:55.960 --> 00:00:58.040]   and service discovery and RPC,
[00:00:58.040 --> 00:01:01.000]   and then ended up running the team
[00:01:01.000 --> 00:01:03.840]   that built out Uber's Go infrastructure.
[00:01:03.840 --> 00:01:05.600]   Started my own company for a bit,
[00:01:05.600 --> 00:01:07.640]   went to Microsoft for a bit and worked on Azure,
[00:01:07.640 --> 00:01:11.240]   and then ended up at Buff doing part of Buff infrastructure.
[00:01:11.240 --> 00:01:14.240]   - Amazing.
[00:01:14.240 --> 00:01:16.040]   And can you give us a little bit,
[00:01:16.040 --> 00:01:18.640]   like what's that little 411 or the download?
[00:01:18.640 --> 00:01:20.720]   What is Buff, like what's Buff trying to do?
[00:01:20.720 --> 00:01:22.240]   What does Buff exist?
[00:01:22.240 --> 00:01:24.000]   What's the mission at Buff?
[00:01:24.000 --> 00:01:25.440]   - Absolutely.
[00:01:25.440 --> 00:01:27.840]   We build part of Buff infrastructure
[00:01:27.840 --> 00:01:30.560]   for other companies to buy as a package
[00:01:30.560 --> 00:01:33.920]   kind of end-to-end piece of your infrastructure.
[00:01:33.920 --> 00:01:36.280]   That means we build a part about compiler
[00:01:36.280 --> 00:01:37.760]   and a command line tool.
[00:01:37.760 --> 00:01:39.360]   So it replaces courtesy,
[00:01:39.360 --> 00:01:41.280]   plus a bunch of other stuff you might want,
[00:01:41.280 --> 00:01:44.680]   linting, formatting, breaking change detection,
[00:01:44.680 --> 00:01:46.640]   interacting with RPC services
[00:01:46.640 --> 00:01:49.520]   using binary payloads, all that kind of stuff.
[00:01:49.520 --> 00:01:52.200]   We actually build an RPC framework called Connect,
[00:01:52.200 --> 00:01:55.000]   which is part of the CNCF now.
[00:01:55.000 --> 00:01:56.680]   Our main commercial product to date
[00:01:56.680 --> 00:01:58.480]   has been a schema registry,
[00:01:58.480 --> 00:02:01.560]   which basically brings all the benefits
[00:02:01.560 --> 00:02:05.480]   of a basal style monorepo for part about schemas
[00:02:05.480 --> 00:02:10.480]   to your not to basal, not monorepo mesh of services.
[00:02:10.480 --> 00:02:16.080]   And recently, we finally launched this message queue
[00:02:16.080 --> 00:02:18.040]   that we've been working on called BuffStream,
[00:02:18.040 --> 00:02:19.720]   which brings a lot of the same kind of
[00:02:19.720 --> 00:02:23.040]   part of our first benefits to streaming data.
[00:02:23.040 --> 00:02:26.080]   - What is about Buff's mission that really spoke to you?
[00:02:26.080 --> 00:02:28.080]   Was there some experience or something you had?
[00:02:28.080 --> 00:02:29.800]   They're like, ah, this company saw me as a problem,
[00:02:29.800 --> 00:02:32.520]   and I have to go join and help and figure this out, too.
