
[00:00:00.000 --> 00:00:03.440]   (upbeat music)
[00:00:03.440 --> 00:00:05.200]   - Welcome back to the pod.
[00:00:05.200 --> 00:00:06.920]   This is Tim from Essence VCN.
[00:00:06.920 --> 00:00:08.020]   Let's go Ian.
[00:00:08.020 --> 00:00:12.520]   - This is Ian Livingston, lover of dev tools and infrastructure.
[00:00:12.520 --> 00:00:13.760]   And I'm super excited today.
[00:00:13.760 --> 00:00:17.460]   We're joined by a good friend of mine, Guy Pajerni,
[00:00:17.460 --> 00:00:20.440]   who is currently on his next company journey,
[00:00:20.440 --> 00:00:23.220]   CEO of Tasshole Former.
[00:00:23.220 --> 00:00:25.460]   Well, still founder of Snyk.
[00:00:25.460 --> 00:00:28.560]   Guy, could you give us a little introduction to yourself?
[00:00:28.560 --> 00:00:31.400]   - Yeah, well, thanks, Tim and Ian for having me on here.
[00:00:31.400 --> 00:00:33.480]   I'm Guy Pajarni or Guypo.
[00:00:33.480 --> 00:00:35.680]   Someone said I'm pulling a Madonna, you know, on the,
[00:00:35.680 --> 00:00:39.040]   with the one name, I am indeed founded Snyk.
[00:00:39.040 --> 00:00:41.020]   I founded Blaze before that and sold it to Akama,
[00:00:41.020 --> 00:00:44.200]   with CTO there for a bunch of years before founding Snyk.
[00:00:44.200 --> 00:00:46.880]   Now I'm the founder and CEO of Tasshole,
[00:00:46.880 --> 00:00:48.760]   trying to reimagine software development.
[00:00:48.760 --> 00:00:49.960]   I'm sure we're going to talk about that
[00:00:49.960 --> 00:00:53.880]   a fair bit more here and it couldn't help it.
[00:00:53.880 --> 00:00:55.040]   I'm an active angel investor.
[00:00:55.040 --> 00:00:56.960]   I've got a little bit over a decade,
[00:00:56.960 --> 00:00:58.560]   about a hundred angel investments.
[00:00:58.560 --> 00:01:02.200]   You know, love the learnings and excitement that I,
[00:01:02.200 --> 00:01:05.280]   that I felt from learning from all these other founders.
[00:01:05.280 --> 00:01:06.280]   And yeah, that's me.
[00:01:06.280 --> 00:01:09.240]   Also a lover of DevTools, a nerd and geek
[00:01:09.240 --> 00:01:12.160]   about many, many, many topics, including Dev and AI.
[00:01:12.160 --> 00:01:14.840]   - I mean, you've been kind of at it with Blaze
[00:01:14.840 --> 00:01:15.920]   since the very beginning, right?
[00:01:15.920 --> 00:01:18.400]   Like 2011, 2010, and before that, right?
[00:01:18.400 --> 00:01:20.440]   Which watch fire, like you worked at Watch Fire,
[00:01:20.440 --> 00:01:21.280]   I think as well.
[00:01:21.280 --> 00:01:22.880]   So you've been here from the get-go
[00:01:22.880 --> 00:01:24.960]   in terms of like the main take on the industry.
[00:01:24.960 --> 00:01:27.320]   You've seen a lot of the different sort of like phases
[00:01:27.320 --> 00:01:28.280]   of evolution as well.
[00:01:28.280 --> 00:01:30.560]   So I'm super excited.
