
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.780]   - Well, welcome to the InfraPod.
[00:00:06.780 --> 00:00:09.460]   It's Tim from S&P.C and Ian, let's go.
[00:00:09.460 --> 00:00:12.380]   - This is the Livingston Angel Investor,
[00:00:12.380 --> 00:00:15.660]   pretender of knowing, of knowledge about Infra,
[00:00:15.660 --> 00:00:18.340]   and just overall lover of dev tools.
[00:00:18.340 --> 00:00:19.980]   In the future of how we build apps,
[00:00:19.980 --> 00:00:24.500]   Tim, how excited are you to do our year in review recap?
[00:00:24.500 --> 00:00:26.560]   Both of the podcasts, but just Infra
[00:00:26.560 --> 00:00:29.380]   and all of the fun that's occurred in the last year.
[00:00:29.380 --> 00:00:32.140]   - Yeah, you know, I don't think we ever really plan out
[00:00:32.140 --> 00:00:34.020]   our episodes at all, right?
[00:00:34.020 --> 00:00:36.860]   But the themes that we go talk about
[00:00:36.860 --> 00:00:38.860]   and the things that we just keep recurring
[00:00:38.860 --> 00:00:39.980]   in all our conversations,
[00:00:39.980 --> 00:00:42.820]   seems to get to pretty much like a pattern
[00:00:42.820 --> 00:00:45.100]   I would have even observing, so.
[00:00:45.100 --> 00:00:46.980]   I'm excited, you know?
[00:00:46.980 --> 00:00:49.580]   We're excited, let's just do this, yeah?
[00:00:49.580 --> 00:00:51.140]   - Do this thing, cool.
[00:00:51.140 --> 00:00:53.780]   Well, on this episode, we're gonna do,
[00:00:53.780 --> 00:00:56.020]   we'll talk a little bit about our favorite moments,
[00:00:56.020 --> 00:00:58.580]   but more importantly, our takeaways from the last year.
[00:00:58.580 --> 00:00:59.660]   Like what have we learned?
[00:00:59.660 --> 00:01:00.500]   What have we noticed?
[00:01:00.500 --> 00:01:01.340]   What are the big trends?
[00:01:01.340 --> 00:01:03.020]   What are the things we think that are cool?
[00:01:03.020 --> 00:01:05.620]   And we'll finish you off with a little prediction
[00:01:05.620 --> 00:01:07.740]   on what we think is gonna happen within front apps
[00:01:07.740 --> 00:01:10.060]   and everything in 2025 based on our purview,
[00:01:10.060 --> 00:01:10.900]   and where we end up.
[00:01:10.900 --> 00:01:13.660]   And, you know, I think that's all pretty spicy
[00:01:13.660 --> 00:01:16.460]   and a nice little holiday snack
[00:01:16.460 --> 00:01:18.260]   for all of our great listeners out there.
[00:01:18.260 --> 00:01:21.340]   So Tim, what's your favorite moment over the last year?
[00:01:21.340 --> 00:01:23.940]   I think we've put out like somehow 20 episodes
[00:01:23.940 --> 00:01:26.100]   or something, where are we sitting?
[00:01:26.100 --> 00:01:28.180]   Face source from your favorite moments.
[00:01:28.180 --> 00:01:33.180]   My favorite moment so far is when we got Guy
[00:01:33.180 --> 00:01:36.980]   to talk about what he's doing and Tesla.
[00:01:36.980 --> 00:01:40.700]   Like to me, like the death of what he is able to describe.
[00:01:40.700 --> 00:01:44.420]   And sort of like the both things he's doing,
[00:01:44.420 --> 00:01:46.820]   like it's just so memorable for me, you know?
[00:01:46.820 --> 00:01:49.500]   'Cause getting Guy on, of course, he has a company
[00:01:49.500 --> 00:01:53.500]   that raises a lot of money, but on the flip side,
[00:01:53.500 --> 00:01:56.780]   seeing somebody with that background
[00:01:56.780 --> 00:01:59.580]   and sort of like the ability to kind of change the world.
[00:01:59.580 --> 00:02:02.460]   In that way, you believe there might be something
[00:02:02.460 --> 00:02:04.300]   really happening, right?
[00:02:04.300 --> 00:02:05.780]   And not saying that all the other guests are not,
[00:02:05.780 --> 00:02:07.540]   but they're all building something really interesting,
[00:02:07.540 --> 00:02:10.860]   but like he's yet to sit on some new journey here.
[00:02:10.860 --> 00:02:12.620]   And so that's pretty memorable for me,
[00:02:12.620 --> 00:02:14.980]   'cause I remember we were chatting about like, hey,
[00:02:14.980 --> 00:02:17.300]   you know, let's get a little bit more prepared.
[00:02:17.300 --> 00:02:18.660]   (laughs)
[00:02:18.660 --> 00:02:21.220]   Get a little bit more ready.
[00:02:21.220 --> 00:02:23.140]   For something that becomes more memorable, right?
[00:02:23.140 --> 00:02:25.460]   Or like, okay, this is a much bigger deal.
[00:02:25.460 --> 00:02:26.700]   Let's get ready to do it.
[00:02:26.700 --> 00:02:28.060]   That's why I didn't disappoint at all,
[00:02:28.060 --> 00:02:29.740]   like talking to Guy in that episode.
[00:02:29.740 --> 00:02:32.100]   It was the longest episode we had.
[00:02:32.100 --> 00:02:35.420]   Like it was an hour fully, we recorded longer than an hour,
[00:02:35.420 --> 00:02:36.260]   right?
[00:02:36.260 --> 00:02:38.020]   We cut it down to like 50ish minutes.
[00:02:38.020 --> 00:02:39.500]   Time flew fast on that one.
[00:02:39.500 --> 00:02:42.060]   I didn't feel like it was a long chatter.
[00:02:42.060 --> 00:02:42.900]   - Not at all.
[00:02:42.900 --> 00:02:44.740]   I mean, Guy's phenomenal storyteller.
[00:02:44.740 --> 00:02:45.740]   I think with Ona Dote,
[00:02:45.740 --> 00:02:48.660]   one of the best storytellers we have
[00:02:48.660 --> 00:02:50.580]   in like DevTools infrastructure
[00:02:50.580 --> 00:02:51.740]   in terms of the way that he thinks
[00:02:51.740 --> 00:02:54.100]   and that democracy creates his ability to communicate it.
[00:02:54.100 --> 00:02:55.060]   I love that episode.
[00:02:55.060 --> 00:02:57.140]   And I think the thing that's so interesting
[00:02:57.140 --> 00:02:59.140]   with what Guy is doing, what he's really talking about
[00:02:59.140 --> 00:03:01.580]   is like the interface change
[00:03:01.580 --> 00:03:04.020]   and the trust required as a result
[00:03:04.020 --> 00:03:06.460]   that like enable the interface change to occur
[00:03:06.460 --> 00:03:10.580]   and what that interface change from the IDE to the specs
[00:03:10.580 --> 00:03:12.500]   or from a little higher level abstraction
[00:03:12.500 --> 00:03:14.300]   that comes from moving away from structured code
[00:03:14.300 --> 00:03:17.540]   to something that's less formal, more readable,
[00:03:17.540 --> 00:03:19.660]   more human digestible,
[00:03:19.660 --> 00:03:21.180]   or just sort of this idea of the specs
[00:03:21.180 --> 00:03:22.900]   and this current composite system to specs.
[00:03:22.900 --> 00:03:24.260]   And with AI that read the spec
[00:03:24.260 --> 00:03:25.940]   and then maintain the system for you,
[00:03:25.940 --> 00:03:28.860]   it is both just like radically different
[00:03:28.860 --> 00:03:31.020]   than the way things work,
[00:03:31.020 --> 00:03:34.740]   but also is a very democratizing mission if true.
[00:03:34.740 --> 00:03:35.580]   And so I agree with you.
[00:03:35.580 --> 00:03:37.380]   That was like a pretty great episode
[00:03:37.380 --> 00:03:40.740]   and very interesting endeavor in infrastructure
[00:03:40.740 --> 00:03:42.700]   and very bold and something you totally expect
[00:03:42.700 --> 00:03:44.140]   from a third time founder.
[00:03:44.140 --> 00:03:44.980]   - Yeah.
[00:03:44.980 --> 00:03:46.660]   And what's your favorite movement then?
[00:03:46.660 --> 00:03:49.380]   - Mine is, it's hard to follow up on Guy.
[00:03:49.380 --> 00:03:51.460]   So, but look, I think one of my favorite episodes
[00:03:51.460 --> 00:03:54.780]   was when we talked to Akshay Shah, CTO of Ba.
